Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 11) High C High H,,,,arg 2+,,,arg +,,,arg,,,arg-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.072,8.665,9.9854,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.124,8.3107,9.4268,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.181,8.0373,8.9747,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.236,7.8325,8.6073,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.285,7.6877,8.3096,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.327,7.5961,8.0711,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.360,7.5523,7.886,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.384,7.5546,7.7515,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.396,7.6053,7.6691,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.397,7.7048,7.6488,2.852750093,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.399,7.8365,7.7201,2.852750093,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
